,Media,Varianza,Momento 3,Momento 4,Entropía,Clase
0,5.1383,727.17126,100185.72,14472717.0,0.29124656,0.0
1,0.89228886,19.091198,476.20627,14768.308,0.34503928,0.0
2,1.8796556,111.46228,11674.384,1622684.6,0.4735259,0.0
3,1.5654556,112.33396,15884.803,2829176.5,0.38552684,0.0
4,5.687278,928.02246,146602.45,24094044.0,0.26573268,0.0
5,4.150189,644.0943,97744.36,15316795.0,0.21740608,0.0
6,5.2904,858.08386,135117.8,22093318.0,0.25584114,0.0
7,0.9347,18.29348,413.63834,12871.641,0.35417953,0.0
8,1.0213555,32.21021,1848.5554,195076.84,0.35162476,0.0
9,13.559366,2488.887,423690.56,78437290.0,0.47774735,1.0
10,8.100011,1287.8798,194608.17,31110288.0,0.34759608,0.0
11,6.1816335,923.8874,138294.39,22103210.0,0.36208007,0.0
12,1.8683,127.236,17714.0,3164697.2,0.5139199,0.0
13,6.4119,1017.4468,155551.1,24920404.0,0.30561835,0.0
14,7.826267,1225.5778,182634.95,28768060.0,0.34548035,0.0
15,1.409311,35.52342,1034.0011,39366.996,0.43430144,0.0
16,1.352889,51.70176,4493.2305,652607.6,0.42536527,0.0
17,3.6925445,422.18182,57099.402,8294252.5,0.4829582,0.0
18,5.7219667,818.3845,113035.12,16375690.0,0.28850296,0.0
19,8.447833,1242.9199,172948.92,25699792.0,0.38293558,0.0
20,3.8182557,584.1608,87595.05,13548176.0,0.19432335,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,7.270711,1026.3428,139536.02,20324482.0,0.40320903,0.0
31,0.9882445,22.581728,583.8636,18552.35,0.3511116,0.0
32,1.7493666,98.03157,10428.493,1492969.2,0.48197553,0.0
33,1.515,103.15113,13896.734,2405292.8,0.37421182,0.0
